01BlackRose08,0.996644295,0.003355705
02SarahM,0.748322148,0.251677852
03Masies,0.908496732,0.091503268
0a3430129c1b4f5,0.535714286,0.464285714
0B_JuanKenobi,0.706395349,0.293604651
0chillwill,0.913621262,0.086378738
0_Fuk_Given,0.916666667,0.083333333
123KatC,0.4275,0.5725
123Viihlu,0.768571429,0.231428571
12jessicasims,0.755319149,0.244680851
1399_saa,0.4,0.6
13DiYaNkA,0.916666667,0.083333333
14sbass,0.439429929,0.560570071
15roneill,0.816720257,0.183279743
16kingj,0.797101449,0.202898551
17Hooch,0.78021978,0.21978022
17huletts,0.64037123,0.35962877
1985Dejan,0.891304348,0.108695652
19gtoth,0.781818182,0.218181818
1Beerich,0.661341853,0.338658147
1doktornele,0.837579618,0.162420382
1tstreets_187,0.679425837,0.320574163
24jc365,0.988826816,0.011173184
27rohitKumar,0.877777778,0.122222222
28724m,0.964285714,0.035714286
30RockSuperFans,0.56846473,0.43153527
31maki31,0.273076923,0.726923077
3dbloc,0.792613636,0.207386364
3DCRE,0.724770642,0.275229358
3Four_Prod,0.475206612,0.524793388
3leboutchou,0.804532578,0.195467422
3min3m_lover,0.714285714,0.285714286
3_samoNB_3,0.553745928,0.446254072
406to702,0.741935484,0.258064516
40formsintimacy,0.875,0.125
4houselighting,0.99,0.01
4slas,1,0
5148a274fa86451,0.863636364,0.136363636
55cbaca85e374b1,1,0
5h2Wfh,1,0
5SenseMarriage,0.403726708,0.596273292
5sos_lover_33_,0.923076923,0.076923077
604arun,0.848484848,0.151515152
65Dato,0.689655172,0.310344828
6GodGraham,0.558823529,0.441176471
6_boyce,0.794871795,0.205128205
73Huntingdonsqn,0.554487179,0.445512821
77d432863ebe462,1,0
7rangtv,0.949367089,0.050632911
7_deadlyzins,0.894736842,0.105263158
84213360,0.516129032,0.483870968
8755745454,1,0
8dfb4f5d646346b,0.980582524,0.019417476
8ourgeois,0.651651652,0.348348348
96jasminecoles,0.685714286,0.314285714
999haunts,0.868613139,0.131386861
9EIGHT9ENT,0.378947368,0.621052632
9never_any,0.988636364,0.011363636
9_Russell_21,0.588028169,0.411971831
A1GEEK,0.8,0.2
AadamSparkzz,0.170157068,0.829842932
aahana_dhar,0.5,0.5
AalexxxFoxwell,0.743589744,0.256410256
Aalink200,0.838383838,0.161616162
aarenprody,0.739130435,0.260869565
aaronhiles,0.272131148,0.727868852
AaronMock14,0.806451613,0.193548387
aaron_e1294,0.821958457,0.178041543
Aaron_Woodward,0.731788079,0.268211921
Aayah6688,0.959459459,0.040540541
ab101697,0.764227642,0.235772358
AbbesDonutsFLA,0.838607595,0.161392405
abbeybusche_,0.443231441,0.556768559
AbbeyHassan,0.905723906,0.094276094
abbeymclennon,0.436363636,0.563636364
AbbeyRaeee2,0.708737864,0.291262136
AbbyHareHarris,0.709677419,0.290322581
AbbyPerkins8,0.665671642,0.334328358
abby_321_,0.411167513,0.588832487
ABC7JayE,0.729651163,0.270348837
Abdi272,0.332386364,0.667613636
Abdula_Anisetty,0.806666667,0.193333333
AbdullahMShaikh,0.37431694,0.62568306
abdullah_dawnak,0.49122807,0.50877193
abedf92,0.768292683,0.231707317
Abeh_254,0.726368159,0.273631841
abhaynawani,0.936708861,0.063291139
AbidingCare,0.957219251,0.042780749
AbidingMarriage,0.835443038,0.164556962
AbiReimold,0.601049869,0.398950131
AblaKlaa,0.454356846,0.545643154
abolajisayo,0.848484848,0.151515152
Abrahim_TheGoat,0.81875,0.18125
ABrokeDesigner,0.91318328,0.08681672
absarokaa_wyo,0.598240469,0.401759531
Abu_Kigab23,0.895899054,0.104100946
AcaciaMizzou,0.68202765,0.31797235
acaciasink,0.872403561,0.127596439
AccordingtoDrew,0.600660066,0.399339934
Ace15Cypress,0.211267606,0.788732394
aclavers,0.598705502,0.401294498
AcworthGAHomes,0.937293729,0.062706271
ada914,0.782894737,0.217105263
Adam4Bent,0.545238095,0.454761905
adamfairholm,0.606153846,0.393846154
AdammmWalsh,0.518201285,0.481798715
adampeltonlove1,0.714285714,0.285714286
adamspector2,0.789634146,0.210365854
AdityaSambuaga,0.897142857,0.102857143
adkelman,0.855799373,0.144200627
adomidom,0.863636364,0.136363636
AdoreMarriage,0.811111111,0.188888889
AdrianJulian,0.791411043,0.208588957
adriantalingdan,0.635135135,0.364864865
